order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,processing_date,shipping_date,delivery_date,total_amount
13,8,2021-10-30 16:59:32,Delivered,Credit Card,87677 Mathews Branch Suite 434,Shellyshire,AS,94345,US,2021-10-31 16:59:32,2021-11-06 16:59:32,2021-11-14 16:59:32,410.98
14,8,2024-06-02 16:59:32,Delivered,Apple Pay,87677 Mathews Branch Suite 434,Shellyshire,AS,94345,US,2024-06-03 16:59:32,2024-06-04 16:59:32,2024-06-07 16:59:32,764.69
15,8,2023-10-17 16:59:32,Delivered,Google Pay,87677 Mathews Branch Suite 434,Shellyshire,AS,94345,US,2023-10-18 16:59:32,2023-10-22 16:59:32,2023-10-27 16:59:32,504.61
16,9,2025-03-12 16:59:32,Processing,Credit Card,480 Haynes Mill Apt. 181,Paulmouth,PR,38447,US,2025-03-14 16:59:32,2025-03-21 16:59:32,2025-03-30 16:59:32,63.73
17,10,2025-03-13 16:59:32,Processing,Google Pay,4565 Hernandez Port Suite 226,West William,KY,89669,US,2025-03-15 16:59:32,2025-03-21 16:59:32,2025-03-30 16:59:32,2416.09
18,12,2024-08-02 16:59:32,Delivered,PayPal,8243 Jesse Spur,North Kristin,IL,81343,US,2024-08-02 16:59:32,2024-08-06 16:59:32,2024-08-13 16:59:32,1102.28
19,12,2025-01-08 16:59:32,Delivered,Gift Card,8243 Jesse Spur,North Kristin,IL,81343,US,2025-01-08 16:59:32,2025-01-14 16:59:32,2025-01-23 16:59:32,788.16
20,13,2024-09-10 16:59:32,Delivered,PayPal,28537 Antonio Light Suite 488,Justinfort,WI,45149,US,2024-09-10 16:59:32,2024-09-11 16:59:32,2024-09-14 16:59:32,487.42
21,14,2025-03-07 16:59:32,Delivered,Credit Card,2550 Hawkins Manors Suite 860,North Jeremy,OR,17548,US,2025-03-07 16:59:32,2025-03-08 16:59:32,2025-03-10 16:59:32,352.95
22,15,2025-03-13 16:59:32,Processing,PayPal,14249 Robles Extensions Apt. 796,Kevinchester,AL,31231,US,2025-03-14 16:59:32,2025-03-18 16:59:32,2025-03-23 16:59:32,772.66
23,17,2024-10-18 16:59:32,Delivered,Gift Card,723 Raymond Station Apt. 601,Matthewberg,IN,18140,US,2024-10-18 16:59:32,2024-10-23 16:59:32,2024-10-29 16:59:32,2325.25
24,18,2025-03-13 16:59:32,Shipped,PayPal,1920 Melinda Drives,Davidbury,VT,20082,US,2025-03-13 16:59:32,2025-03-16 16:59:32,2025-03-20 16:59:32,369.67
25,19,2024-08-06 16:59:32,Delivered,Apple Pay,49207 Rivas Mount Suite 142,Annamouth,GU,31725,US,2024-08-08 16:59:32,2024-08-09 16:59:32,2024-08-11 16:59:32,123.4
26,20,2025-03-03 16:59:32,In Transit,Gift Card,3435 Dean Mountain Suite 296,Thomasmouth,MH,53729,US,2025-03-03 16:59:32,2025-03-09 16:59:32,2025-03-16 16:59:32,252.58
27,20,2024-10-29 16:59:32,Delivered,Gift Card,3435 Dean Mountain Suite 296,Thomasmouth,MH,53729,US,2024-10-29 16:59:32,2024-11-04 16:59:32,2024-11-12 16:59:32,1332.5
28,20,2024-11-03 16:59:32,Delivered,Google Pay,3435 Dean Mountain Suite 296,Thomasmouth,MH,53729,US,2024-11-04 16:59:32,2024-11-11 16:59:32,2024-11-19 16:59:32,821.16
29,21,2024-03-06 16:59:32,Delivered,Credit Card,573 Perry Heights Apt. 662,West Jose,FL,04833,US,2024-03-06 16:59:32,2024-03-09 16:59:32,2024-03-13 16:59:32,754.34
30,21,2024-02-20 16:59:32,Delivered,Gift Card,573 Perry Heights Apt. 662,West Jose,FL,04833,US,2024-02-22 16:59:32,2024-02-24 16:59:32,2024-02-29 16:59:32,1234.77
31,22,2025-03-13 16:59:32,Processing,Credit Card,5690 Cynthia Pike Suite 293,West Cheryl,WA,36270,US,2025-03-15 16:59:32,2025-03-17 16:59:32,2025-03-22 16:59:32,398.95
32,24,2024-07-18 16:59:32,Delivered,Credit Card,4939 Kevin Fort Suite 904,Melissashire,VI,24516,US,2024-07-19 16:59:32,2024-07-26 16:59:32,2024-08-05 16:59:32,339.79
33,24,2024-08-23 16:59:32,Delivered,Apple Pay,4939 Kevin Fort Suite 904,Melissashire,VI,24516,US,2024-08-24 16:59:32,2024-08-26 16:59:32,2024-08-29 16:59:32,1252.15
34,25,2024-04-24 16:59:32,Delivered,Gift Card,23641 Elijah Trace,Mahoneytown,SC,75219,US,2024-04-25 16:59:32,2024-05-02 16:59:32,2024-05-12 16:59:32,358.5
35,25,2024-08-17 16:59:32,Delivered,Google Pay,23641 Elijah Trace,Mahoneytown,SC,75219,US,2024-08-17 16:59:32,2024-08-24 16:59:32,2024-09-02 16:59:32,808.99
36,25,2024-12-21 16:59:32,Delivered,Gift Card,23641 Elijah Trace,Mahoneytown,SC,75219,US,2024-12-23 16:59:32,2024-12-28 16:59:32,2025-01-05 16:59:32,817.49
37,25,2024-04-25 16:59:32,Delivered,PayPal,23641 Elijah Trace,Mahoneytown,SC,75219,US,2024-04-25 16:59:32,2024-04-28 16:59:32,2024-05-03 16:59:32,285.06
38,25,2025-01-07 16:59:32,Delivered,PayPal,23641 Elijah Trace,Mahoneytown,SC,75219,US,2025-01-09 16:59:32,2025-01-16 16:59:32,2025-01-26 16:59:32,635.74
39,26,2023-11-05 16:59:32,Delivered,Apple Pay,042 Paula Viaduct Suite 564,North Brittneyburgh,MN,49294,US,2023-11-07 16:59:32,2023-11-14 16:59:32,2023-11-24 16:59:32,624.68
40,27,2025-03-11 16:59:32,In Transit,Credit Card,57557 Patricia Lock Suite 328,West Robert,AK,56938,US,2025-03-11 16:59:32,2025-03-13 16:59:32,2025-03-17 16:59:32,278.56
41,28,2024-01-09 16:59:32,Delivered,Google Pay,569 Murray Club Suite 336,New Bobbyshire,AZ,14827,US,2024-01-09 16:59:32,2024-01-15 16:59:32,2024-01-22 16:59:32,99.77
42,29,2025-02-03 16:59:32,Delivered,Apple Pay,163 Rickey Pass Suite 851,Sarahton,MI,82776,US,2025-02-05 16:59:32,2025-02-07 16:59:32,2025-02-11 16:59:32,456.38
43,29,2024-12-28 16:59:32,Delivered,Apple Pay,163 Rickey Pass Suite 851,Sarahton,MI,82776,US,2024-12-28 16:59:32,2025-01-04 16:59:32,2025-01-14 16:59:32,468.48
44,30,2025-03-12 16:59:32,Processing,Google Pay,472 Stephen Knoll,Campbellmouth,NC,29766,US,2025-03-14 16:59:32,2025-03-21 16:59:32,2025-03-31 16:59:32,186.75
45,31,2023-12-11 16:59:32,Delivered,Credit Card,066 Cole Cliff Suite 711,Torreschester,AZ,46519,US,2023-12-12 16:59:32,2023-12-15 16:59:32,2023-12-20 16:59:32,20.83
46,32,2025-02-15 16:59:32,Delivered,PayPal,77730 Cory Park,Rodriguezburgh,MP,54985,US,2025-02-16 16:59:32,2025-02-18 16:59:32,2025-02-21 16:59:32,333.14
47,33,2025-03-13 16:59:32,Shipped,Credit Card,099 Ashley Park,Welchbury,NC,67347,US,2025-03-13 16:59:32,2025-03-15 16:59:32,2025-03-20 16:59:32,286.88
48,34,2025-03-13 16:59:32,Shipped,PayPal,417 Edwards Groves Suite 628,Steelestad,CT,68903,US,2025-03-13 16:59:32,2025-03-17 16:59:32,2025-03-23 16:59:32,474.22
49,35,2022-01-25 16:59:32,Delivered,PayPal,51589 Margaret Cove,Port Michelle,FM,02070,US,2022-01-26 16:59:32,2022-02-02 16:59:32,2022-02-12 16:59:32,1065.46
50,36,2022-01-02 16:59:32,Delivered,Gift Card,61527 Carr Village Suite 442,East Ernestview,UT,73288,US,2022-01-02 16:59:32,2022-01-05 16:59:32,2022-01-09 16:59:32,546.41
51,37,2024-11-08 16:59:32,Delivered,PayPal,1939 Smith Corner,West Shawnland,VI,66215,US,2024-11-08 16:59:32,2024-11-13 16:59:32,2024-11-20 16:59:32,432.99
52,38,2025-03-08 16:59:32,Shipped,Apple Pay,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-08 16:59:32,2025-03-14 16:59:32,2025-03-22 16:59:32,374.27
53,38,2025-02-27 16:59:32,Delivered,Google Pay,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-01 16:59:32,2025-03-02 16:59:32,2025-03-04 16:59:32,491.23
54,38,2025-03-09 16:59:32,Shipped,PayPal,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-11 16:59:32,2025-03-16 16:59:32,2025-03-22 16:59:32,2151.15
55,38,2025-03-07 16:59:32,Shipped,Credit Card,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-09 16:59:32,2025-03-16 16:59:32,2025-03-25 16:59:32,1423.53
56,38,2025-03-08 16:59:32,Shipped,PayPal,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-10 16:59:32,2025-03-15 16:59:32,2025-03-21 16:59:32,308.91
57,38,2025-03-08 16:59:32,Shipped,Apple Pay,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-09 16:59:32,2025-03-16 16:59:32,2025-03-26 16:59:32,351.82
58,38,2025-03-02 16:59:32,Delivered,Google Pay,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-03 16:59:32,2025-03-06 16:59:32,2025-03-12 16:59:32,592.47
59,38,2025-03-07 16:59:32,Shipped,Credit Card,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-09 16:59:32,2025-03-15 16:59:32,2025-03-22 16:59:32,345.57
60,38,2025-03-10 16:59:32,Shipped,Gift Card,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-11 16:59:32,2025-03-16 16:59:32,2025-03-23 16:59:32,256.88
61,38,2025-03-11 16:59:32,Shipped,Gift Card,81181 Smith Junctions,Lake Janeburgh,MD,83886,US,2025-03-11 16:59:32,2025-03-14 16:59:32,2025-03-20 16:59:32,229.42
62,39,2025-03-06 16:59:32,Delivered,Credit Card,5645 Martinez Track,South Mark,NJ,79097,US,2025-03-06 16:59:32,2025-03-09 16:59:32,2025-03-13 16:59:32,445.33
63,39,2024-02-12 16:59:32,Delivered,Credit Card,5645 Martinez Track,South Mark,NJ,79097,US,2024-02-13 16:59:32,2024-02-18 16:59:32,2024-02-26 16:59:32,452.93
64,40,2025-01-29 16:59:32,Delivered,Apple Pay,26410 Smith Expressway Suite 753,Lake Debbieton,MI,64583,US,2025-01-30 16:59:32,2025-02-02 16:59:32,2025-02-08 16:59:32,253.64
65,40,2025-02-18 16:59:32,Delivered,Google Pay,26410 Smith Expressway Suite 753,Lake Debbieton,MI,64583,US,2025-02-19 16:59:32,2025-02-22 16:59:32,2025-02-27 16:59:32,32.72
66,40,2024-09-02 16:59:32,Delivered,Gift Card,26410 Smith Expressway Suite 753,Lake Debbieton,MI,64583,US,2024-09-02 16:59:32,2024-09-09 16:59:32,2024-09-19 16:59:32,608.54
67,40,2024-08-22 16:59:32,Delivered,Credit Card,26410 Smith Expressway Suite 753,Lake Debbieton,MI,64583,US,2024-08-22 16:59:32,2024-08-29 16:59:32,2024-09-06 16:59:32,79.64
68,40,2024-07-21 16:59:32,Delivered,PayPal,26410 Smith Expressway Suite 753,Lake Debbieton,MI,64583,US,2024-07-23 16:59:32,2024-07-28 16:59:32,2024-08-04 16:59:32,926.31
69,41,2025-03-03 16:59:32,In Transit,Credit Card,8679 Mcdowell Lane Suite 848,South Alexanderbury,MO,14463,US,2025-03-03 16:59:32,2025-03-07 16:59:32,2025-03-14 16:59:32,11.12
70,41,2025-02-18 16:59:32,Delivered,Gift Card,8679 Mcdowell Lane Suite 848,South Alexanderbury,MO,14463,US,2025-02-18 16:59:32,2025-02-25 16:59:32,2025-03-07 16:59:32,418.77
71,42,2024-02-01 16:59:32,Delivered,Apple Pay,8111 Rodriguez Squares,Collierton,KY,81252,US,2024-02-03 16:59:32,2024-02-05 16:59:32,2024-02-08 16:59:32,796.18
72,43,2025-03-12 16:59:32,Shipped,Gift Card,91703 Michael Alley,West Christinashire,OR,24108,US,2025-03-12 16:59:32,2025-03-19 16:59:32,2025-03-29 16:59:32,448.42
73,44,2023-01-14 16:59:32,Delivered,PayPal,858 Hodge Shore,Port Christy,VI,63305,US,2023-01-16 16:59:32,2023-01-18 16:59:32,2023-01-22 16:59:32,1166.63
74,44,2024-06-11 16:59:32,Delivered,Apple Pay,858 Hodge Shore,Port Christy,VI,63305,US,2024-06-11 16:59:32,2024-06-15 16:59:32,2024-06-20 16:59:32,455.16
75,45,2024-11-14 16:59:32,Delivered,Apple Pay,173 Ford Crossroad Apt. 162,Angelshire,OH,80763,US,2024-11-16 16:59:32,2024-11-17 16:59:32,2024-11-19 16:59:32,63.97
76,46,2024-11-07 16:59:32,Delivered,Google Pay,342 Dominguez Courts,Sandersshire,FL,47964,US,2024-11-08 16:59:32,2024-11-10 16:59:32,2024-11-15 16:59:32,139.98
77,47,2025-02-23 16:59:32,Delivered,Credit Card,84498 Donald Corners Apt. 008,Lake Kathryn,NC,40209,US,2025-02-25 16:59:32,2025-02-28 16:59:32,2025-03-04 16:59:32,1762.81
78,48,2024-10-11 16:59:32,Delivered,Gift Card,365 Hardy Cliff Apt. 218,East Andrew,IL,98890,US,2024-10-12 16:59:32,2024-10-15 16:59:32,2024-10-21 16:59:32,1196.52
79,49,2025-03-04 16:59:32,In Transit,Credit Card,7640 Dylan Tunnel,Lake Ashleybury,TN,24052,US,2025-03-04 16:59:32,2025-03-11 16:59:32,2025-03-20 16:59:32,395.6
80,50,2025-01-12 16:59:32,Delivered,Google Pay,96444 Wolf Gateway Suite 868,Port Teresaville,CA,41016,US,2025-01-12 16:59:32,2025-01-19 16:59:32,2025-01-27 16:59:32,587.81
81,51,2022-12-30 16:59:32,Delivered,PayPal,120 Blevins Freeway Suite 216,Lake Tammy,MO,95508,US,2022-12-31 16:59:32,2023-01-07 16:59:32,2023-01-16 16:59:32,165.82
82,52,2023-11-25 16:59:32,Delivered,Google Pay,579 Gallagher Cliff,West Jennifer,KY,89916,US,2023-11-27 16:59:32,2023-11-28 16:59:32,2023-11-30 16:59:32,699.6
83,52,2023-07-23 16:59:32,Delivered,Google Pay,579 Gallagher Cliff,West Jennifer,KY,89916,US,2023-07-23 16:59:32,2023-07-26 16:59:32,2023-08-01 16:59:32,454.92
84,53,2023-07-29 16:59:32,Delivered,PayPal,233 Laura Plains Apt. 563,Lake Stacieberg,OK,22275,US,2023-07-30 16:59:32,2023-08-03 16:59:32,2023-08-10 16:59:32,742.61
85,56,2025-03-02 16:59:32,In Transit,Gift Card,091 Fletcher Forges,South Marychester,RI,51030,US,2025-03-03 16:59:32,2025-03-10 16:59:32,2025-03-20 16:59:32,308.42
86,56,2023-02-03 16:59:32,Delivered,Credit Card,091 Fletcher Forges,South Marychester,RI,51030,US,2023-02-04 16:59:32,2023-02-08 16:59:32,2023-02-14 16:59:32,481.29
87,58,2025-01-29 16:59:32,Delivered,Gift Card,805 Tracey Rue,Fieldsbury,MI,36023,US,2025-01-30 16:59:32,2025-02-05 16:59:32,2025-02-13 16:59:32,441.26
88,59,2025-03-13 16:59:32,Processing,PayPal,0317 Schmidt Brook,North Jonathan,MI,70447,US,2025-03-14 16:59:32,2025-03-15 16:59:32,2025-03-19 16:59:32,330.9
89,60,2024-11-04 16:59:32,Delivered,Credit Card,9911 Kristen Ramp Apt. 045,Jenkinsberg,NV,33283,US,2024-11-05 16:59:32,2024-11-07 16:59:32,2024-11-11 16:59:32,1942.34
90,61,2025-02-08 16:59:32,Delivered,Google Pay,7612 Adrian Park,Peterville,WA,15814,US,2025-02-10 16:59:32,2025-02-17 16:59:32,2025-02-27 16:59:32,392.56
91,61,2025-02-10 16:59:32,Delivered,Gift Card,7612 Adrian Park,Peterville,WA,15814,US,2025-02-11 16:59:32,2025-02-15 16:59:32,2025-02-22 16:59:32,79.21
92,61,2025-02-21 16:59:32,Delivered,Gift Card,7612 Adrian Park,Peterville,WA,15814,US,2025-02-23 16:59:32,2025-02-25 16:59:32,2025-02-28 16:59:32,1526.83
93,61,2025-01-06 16:59:32,Delivered,Gift Card,7612 Adrian Park,Peterville,WA,15814,US,2025-01-08 16:59:32,2025-01-14 16:59:32,2025-01-21 16:59:32,375.67
94,61,2024-08-09 16:59:32,Delivered,Google Pay,7612 Adrian Park,Peterville,WA,15814,US,2024-08-10 16:59:32,2024-08-17 16:59:32,2024-08-26 16:59:32,636.95
95,61,2024-08-16 16:59:32,Delivered,PayPal,7612 Adrian Park,Peterville,WA,15814,US,2024-08-17 16:59:32,2024-08-24 16:59:32,2024-09-02 16:59:32,391.79
96,63,2024-04-30 16:59:32,Delivered,Gift Card,5916 Sharon Street Suite 359,New Zachary,SC,83971,US,2024-05-01 16:59:32,2024-05-05 16:59:32,2024-05-11 16:59:32,1706.31
97,64,2024-11-25 16:59:32,Delivered,Credit Card,71776 Nicole Spur,West Diane,SD,82606,US,2024-11-26 16:59:32,2024-12-02 16:59:32,2024-12-11 16:59:32,560.2
98,65,2024-12-13 16:59:32,Delivered,Gift Card,023 Kathy Dam Suite 532,Youngmouth,AS,16082,US,2024-12-13 16:59:32,2024-12-18 16:59:32,2024-12-26 16:59:32,1332.86
99,65,2025-02-23 16:59:32,Delivered,Apple Pay,023 Kathy Dam Suite 532,Youngmouth,AS,16082,US,2025-02-24 16:59:32,2025-02-28 16:59:32,2025-03-06 16:59:32,1733.11
100,66,2025-01-30 16:59:32,Delivered,Gift Card,5570 Benjamin Loop Apt. 741,South Terri,KS,47746,US,2025-01-31 16:59:32,2025-02-01 16:59:32,2025-02-05 16:59:32,385.57
101,67,2025-02-07 16:59:32,Delivered,Google Pay,6446 Wright Avenue,Nathanmouth,AS,45079,US,2025-02-07 16:59:32,2025-02-10 16:59:32,2025-02-16 16:59:32,203.42
102,68,2023-08-02 16:59:32,Delivered,Google Pay,08236 Le Viaduct Apt. 690,Lake Isaiah,AR,74456,US,2023-08-02 16:59:32,2023-08-09 16:59:32,2023-08-18 16:59:32,300.36
103,69,2025-03-04 16:59:32,Delivered,PayPal,6972 Patrick Stream,New Deborahbury,WV,90450,US,2025-03-04 16:59:32,2025-03-07 16:59:32,2025-03-11 16:59:32,2034.47
104,69,2025-03-11 16:59:32,Shipped,Gift Card,6972 Patrick Stream,New Deborahbury,WV,90450,US,2025-03-11 16:59:32,2025-03-17 16:59:32,2025-03-25 16:59:32,258.23
105,69,2025-03-07 16:59:32,Shipped,Credit Card,6972 Patrick Stream,New Deborahbury,WV,90450,US,2025-03-08 16:59:32,2025-03-14 16:59:32,2025-03-21 16:59:32,963.81
106,69,2025-03-12 16:59:32,Shipped,Gift Card,6972 Patrick Stream,New Deborahbury,WV,90450,US,2025-03-12 16:59:32,2025-03-14 16:59:32,2025-03-17 16:59:32,530.04
107,69,2025-03-12 16:59:32,Processing,PayPal,6972 Patrick Stream,New Deborahbury,WV,90450,US,2025-03-14 16:59:32,2025-03-16 16:59:32,2025-03-20 16:59:32,312.04
108,70,2023-05-01 16:59:32,Delivered,Gift Card,83774 Shawn Center,Justinside,MD,64856,US,2023-05-01 16:59:32,2023-05-02 16:59:32,2023-05-04 16:59:32,1545.7
109,71,2024-08-12 16:59:32,Delivered,Apple Pay,8952 Henry Bridge Suite 064,Mooreview,PW,45411,US,2024-08-13 16:59:32,2024-08-15 16:59:32,2024-08-18 16:59:32,185.47
110,72,2025-03-08 16:59:32,Shipped,Google Pay,98897 Amy Drives,Boydberg,NY,19719,US,2025-03-09 16:59:32,2025-03-16 16:59:32,2025-03-26 16:59:32,9.47
111,72,2025-03-03 16:59:32,Delivered,Google Pay,98897 Amy Drives,Boydberg,NY,19719,US,2025-03-04 16:59:32,2025-03-07 16:59:32,2025-03-13 16:59:32,173.95
112,74,2025-03-03 16:59:32,Delivered,PayPal,17086 Brennan Cove Suite 207,Bankston,NJ,37886,US,2025-03-04 16:59:32,2025-03-06 16:59:32,2025-03-10 16:59:32,80.84
113,75,2023-09-08 16:59:32,Delivered,Credit Card,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2023-09-10 16:59:32,2023-09-16 16:59:32,2023-09-24 16:59:32,1234.62
114,75,2024-04-17 16:59:32,Delivered,Google Pay,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2024-04-17 16:59:32,2024-04-23 16:59:32,2024-05-01 16:59:32,310.76
115,75,2025-02-10 16:59:32,Delivered,Credit Card,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2025-02-12 16:59:32,2025-02-19 16:59:32,2025-03-01 16:59:32,148.49
116,75,2024-12-30 16:59:32,Delivered,Credit Card,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2024-12-31 16:59:32,2025-01-02 16:59:32,2025-01-07 16:59:32,385.12
117,75,2025-02-06 16:59:32,Delivered,Apple Pay,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2025-02-06 16:59:32,2025-02-09 16:59:32,2025-02-13 16:59:32,113.46
118,75,2023-12-17 16:59:32,Delivered,Apple Pay,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2023-12-18 16:59:32,2023-12-22 16:59:32,2023-12-28 16:59:32,724.31
119,75,2025-02-10 16:59:32,Delivered,Google Pay,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2025-02-10 16:59:32,2025-02-15 16:59:32,2025-02-23 16:59:32,341.93
120,75,2023-07-14 16:59:32,Delivered,Google Pay,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2023-07-14 16:59:32,2023-07-20 16:59:32,2023-07-28 16:59:32,268.02
121,75,2025-03-10 16:59:32,Shipped,Google Pay,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2025-03-12 16:59:32,2025-03-17 16:59:32,2025-03-24 16:59:32,534.7
122,75,2024-11-08 16:59:32,Delivered,PayPal,78502 Nathan Drive,Elizabethshire,NJ,21927,US,2024-11-08 16:59:32,2024-11-15 16:59:32,2024-11-24 16:59:32,1026.22
123,76,2022-12-13 16:59:32,Delivered,Credit Card,9744 Michael Lights Suite 204,South Justinstad,WI,94715,US,2022-12-15 16:59:32,2022-12-16 16:59:32,2022-12-19 16:59:32,241.77
124,77,2023-05-07 16:59:32,Delivered,Credit Card,85571 Turner Shoals Apt. 584,Blackland,KY,36266,US,2023-05-08 16:59:32,2023-05-10 16:59:32,2023-05-13 16:59:32,257.3
125,78,2025-03-13 16:59:32,Shipped,Gift Card,2791 Rachel Course,Lake Aprilland,ND,33306,US,2025-03-13 16:59:32,2025-03-16 16:59:32,2025-03-20 16:59:32,2594.55
126,79,2024-09-18 16:59:32,Delivered,PayPal,22642 Jensen Park,North Matthew,MA,39364,US,2024-09-19 16:59:32,2024-09-20 16:59:32,2024-09-22 16:59:32,225.28
127,80,2025-03-05 16:59:32,In Transit,Apple Pay,2937 Timothy Plaza,Evelynburgh,CO,34874,US,2025-03-06 16:59:32,2025-03-10 16:59:32,2025-03-16 16:59:32,1062.02
128,81,2022-04-07 16:59:32,Delivered,PayPal,4584 Blake Cliff Apt. 401,Lake Shari,UT,28423,US,2022-04-09 16:59:32,2022-04-12 16:59:32,2022-04-17 16:59:32,255.96
129,82,2024-04-05 16:59:32,Delivered,Apple Pay,447 Robert Turnpike Suite 611,Robertfurt,DC,92939,US,2024-04-06 16:59:32,2024-04-08 16:59:32,2024-04-11 16:59:32,332.73
130,83,2024-11-18 16:59:32,Delivered,Credit Card,4330 Mary Spring,Port Nicole,SD,94279,US,2024-11-20 16:59:32,2024-11-21 16:59:32,2024-11-25 16:59:32,330.88
131,83,2024-08-28 16:59:32,Delivered,Apple Pay,4330 Mary Spring,Port Nicole,SD,94279,US,2024-08-28 16:59:32,2024-08-29 16:59:32,2024-09-01 16:59:32,254.47
132,83,2025-02-17 16:59:32,Delivered,PayPal,4330 Mary Spring,Port Nicole,SD,94279,US,2025-02-18 16:59:32,2025-02-21 16:59:32,2025-02-25 16:59:32,2383.15
133,84,2025-03-10 16:59:32,In Transit,Credit Card,6154 Dean Pass,Williamfurt,IN,46853,US,2025-03-10 16:59:32,2025-03-11 16:59:32,2025-03-14 16:59:32,463.19
134,85,2025-01-14 16:59:32,Delivered,Apple Pay,9984 Amanda Estate Suite 705,North John,TN,29365,US,2025-01-16 16:59:32,2025-01-22 16:59:32,2025-01-30 16:59:32,766.84
135,87,2025-03-04 16:59:32,In Transit,Credit Card,32770 Jonathan Forest Suite 859,Robinsonberg,WI,61093,US,2025-03-04 16:59:32,2025-03-10 16:59:32,2025-03-17 16:59:32,165.29
136,87,2025-03-11 16:59:32,Shipped,Apple Pay,32770 Jonathan Forest Suite 859,Robinsonberg,WI,61093,US,2025-03-13 16:59:32,2025-03-15 16:59:32,2025-03-18 16:59:32,1819.8
137,88,2025-02-06 16:59:32,Delivered,Credit Card,041 Robert Point Apt. 596,Ricardomouth,IN,69660,US,2025-02-07 16:59:32,2025-02-08 16:59:32,2025-02-11 16:59:32,382.36
138,89,2023-01-29 16:59:32,Delivered,Apple Pay,700 Vance Garden Suite 599,Susanchester,KY,04665,US,2023-01-31 16:59:32,2023-02-06 16:59:32,2023-02-15 16:59:32,75.99
